time,CHAIR,YOGIS,CT2CW,CRW2L,CRW2R,FF2MN,MNTRL,MNTRR,DOWND
0,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.01,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.02,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.03,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.04,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.05,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.06,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.07,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.08,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.09,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.1,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.11,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.12,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.13,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.14,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.15,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.16,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.17,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.18,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.19,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
